CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2023-05-09,0,HỒ CHÍ MINH,2000,80383,9388402827
2022-04-21,0,HỒ CHÍ MINH,1500,12688,3256402303
2023-01-09,1,HÀ NỘI,1500,14722,3678322545
2023-11-23,0,HỒ CHÍ MINH,1009,82,2353908
2024-01-02,0,HÀ NỘI,1500,20021,4439039716
2022-01-12,0,HỒ CHÍ MINH,2000,93730,13488078363
2023-11-22,0,HÀ NỘI,2000,83838,8098305941
2023-11-23,1,HỒ CHÍ MINH,2000,43136,5676020152
2023-03-11,1,HỒ CHÍ MINH,1500,5341,1837613602
2022-12-06,0,HÀ NỘI,1500,39720,9508495690
2023-06-03,1,HÀ NỘI,1500,18151,6708327441
2023-11-21,0,HỒ CHÍ MINH,2000,70166,6694912519
2023-03-14,0,HỒ CHÍ MINH,2000,81352,9495067580
2023-08-23,0,HÀ NỘI,1500,26806,5475280458
2023-07-13,1,HỒ CHÍ MINH,2000,29162,4155173353
2023-06-13,0,HỒ CHÍ MINH,2000,85679,9609454451
2022-06-02,0,HÀ NỘI,1500,46235,11923782957
2023-09-13,0,HÀ NỘI,1500,26042,5944956200
2024-04-20,1,HÀ NỘI,1500,24521,6987548336
2024-03-24,1,HÀ NỘI,2000,87366,11773195755
2023-04-04,0,HÀ NỘI,1500,26859,5661333457
2023-07-29,1,HÀ NỘI,2000,101806,15213041155
2023-01-30,1,HÀ NỘI,2000,46490,4742671504
2022-08-10,0,HỒ CHÍ MINH,1500,14331,3791107141
2023-07-15,1,HÀ NỘI,2000,93685,13074951305
2024-03-23,1,HÀ NỘI,2000,83277,11243290173
2022-11-02,1,HỒ CHÍ MINH,2000,4958,866139202
2023-06-26,1,HỒ CHÍ MINH,2000,29814,4363565537
2023-06-20,1,HÀ NỘI,1500,14382,4236006437
2023-05-16,1,HỒ CHÍ MINH,1500,5066,1332830637
2022-12-27,0,HỒ CHÍ MINH,1500,12869,4732145300
2024-01-13,1,HÀ NỘI,2000,108375,14551552078
2022-06-27,0,HỒ CHÍ MINH,1500,13859,3658898039
2023-06-29,1,HÀ NỘI,1500,16377,4999238333
2023-03-30,1,HỒ CHÍ MINH,2000,25500,3687382943
2024-02-09,1,HỒ CHÍ MINH,1500,2900,1271293446
2023-03-01,1,HỒ CHÍ MINH,2000,24126,3522397986
2023-06-04,1,HÀ NỘI,1500,20183,7776165543
2024-03-08,1,HỒ CHÍ MINH,1500,4094,1266662443
2024-02-14,0,HỒ CHÍ MINH,1500,8873,1772312257
2023-11-30,1,HÀ NỘI,1500,20298,5359211888
2024-04-03,1,HỒ CHÍ MINH,1500,5168,1366766496
2023-06-04,1,HỒ CHÍ MINH,1500,6555,2238589283
2022-03-31,0,HỒ CHÍ MINH,1500,12137,3342181694
2023-11-21,0,HỒ CHÍ MINH,1009,113,3007423
2022-12-11,1,HÀ NỘI,2000,6816,1040102656
2023-02-13,0,HÀ NỘI,1009,82,5033500
2023-04-03,1,HỒ CHÍ MINH,1009,88,7447506
2023-11-02,1,HỒ CHÍ MINH,1009,163,15518682
2023-04-16,1,HỒ CHÍ MINH,1009,105,11630082
2022-12-24,0,HÀ NỘI,1009,74,4886900
2023-10-31,1,HÀ NỘI,1500,18098,5275327661
2023-07-23,0,HỒ CHÍ MINH,1500,10948,2585889582
2024-03-01,1,HỒ CHÍ MINH,1009,92,11854457
2023-10-13,0,HỒ CHÍ MINH,1500,8752,1995704595
2023-09-09,1,HỒ CHÍ MINH,2000,42271,6491495812
2024-02-22,0,HỒ CHÍ MINH,1009,48,1280846
2022-04-23,0,HÀ NỘI,1500,45153,14313037535
2023-12-12,1,HỒ CHÍ MINH,1500,5627,1577310759
2023-01-30,1,HỒ CHÍ MINH,1009,75,8847150
2023-10-18,0,HỒ CHÍ MINH,1500,7975,1934218618
2022-11-17,1,HÀ NỘI,1009,23,1233850
2022-06-24,0,HỒ CHÍ MINH,1500,14620,3776919878
2022-09-10,0,HÀ NỘI,2000,233252,26354803460
2023-02-02,1,HỒ CHÍ MINH,2000,17335,2408413151
2023-02-13,1,HỒ CHÍ MINH,2000,23130,3258180808
2023-08-01,0,HỒ CHÍ MINH,1500,9981,2036364337
2023-08-24,0,HÀ NỘI,1009,62,3079620
2024-03-12,1,HỒ CHÍ MINH,1500,4634,1349559953
2023-10-05,1,HỒ CHÍ MINH,2000,36608,4895992545
2023-10-01,0,HỒ CHÍ MINH,2000,76191,6894750011
2023-10-10,0,HÀ NỘI,1009,65,3535010
2023-01-29,0,HÀ NỘI,2000,166745,16817525843
2022-11-01,0,HÀ NỘI,1009,41,3918500
2022-08-31,1,HỒ CHÍ MINH,2000,791,151560321
2023-07-31,1,HỒ CHÍ MINH,1009,163,15380794
2023-07-15,0,HÀ NỘI,1009,44,2430450
2023-11-18,1,HÀ NỘI,2000,108588,14102002253
2024-02-15,1,HÀ NỘI,2000,76469,9174713544
2022-12-12,1,HÀ NỘI,2000,6098,823624172
2024-01-23,1,HÀ NỘI,2000,98673,13198036430
2023-06-13,1,HÀ NỘI,1500,14882,4226641187
2022-08-31,0,HÀ NỘI,1500,45216,14835935036
2024-02-21,1,HÀ NỘI,1500,18849,4576728062
2023-02-14,1,HỒ CHÍ MINH,2000,22139,3230313649
2023-05-04,1,HỒ CHÍ MINH,1500,5512,1452230599
2022-07-24,0,HỒ CHÍ MINH,2000,116383,14327256163
2023-06-19,0,HÀ NỘI,1009,52,3594400
2023-10-11,0,HÀ NỘI,2000,106634,9906973267
2022-04-11,0,HỒ CHÍ MINH,1500,15921,4613472530
2022-09-05,1,HÀ NỘI,2000,4368,631833804
2023-04-19,1,HÀ NỘI,2000,66196,8852390922
2023-04-13,0,HÀ NỘI,2000,124972,12638520406
2023-02-14,0,HỒ CHÍ MINH,1500,11438,2743704417
2023-08-11,1,HỒ CHÍ MINH,1009,181,12582395
2023-10-31,0,HÀ NỘI,1009,53,8059685
2023-09-12,0,HÀ NỘI,1009,40,3552660
2022-08-24,0,HỒ CHÍ MINH,2000,110156,13629517414
2023-08-28,0,HỒ CHÍ MINH,2000,74783,7032421523
2022-03-21,0,HÀ NỘI,2000,180861,21044248111
2022-11-10,0,HỒ CHÍ MINH,2000,105813,13512868225
2023-01-01,0,HÀ NỘI,2000,183149,21503886850
2022-02-23,0,HÀ NỘI,1500,34613,10993599699
2022-05-11,0,HÀ NỘI,1500,39461,10064306583
2022-01-20,0,HÀ NỘI,2000,160817,23468874820
2023-12-20,0,HÀ NỘI,1500,19512,4125223045
2022-10-17,0,HÀ NỘI,1500,41519,9972343732
2023-03-08,0,HỒ CHÍ MINH,2000,82234,9416901234
2023-06-26,0,HỒ CHÍ MINH,2000,83885,8056633870
2023-06-26,0,HÀ NỘI,2000,111583,10224302336
2023-08-21,0,HÀ NỘI,1500,27590,5304037731
2023-05-11,0,HÀ NỘI,1500,22863,4328296485
2023-06-03,1,HÀ NỘI,2000,63353,9733111593
2023-03-27,1,HÀ NỘI,2000,50561,6395498033
2023-07-12,1,HÀ NỘI,1500,17946,5351006951
2023-06-23,0,HỒ CHÍ MINH,1500,9557,1868148461
2022-11-28,1,HỒ CHÍ MINH,2000,4434,635611924
2023-01-17,1,HÀ NỘI,2000,27422,5353605436
