CALDAY,IS_MBS,CITY,BUSINESS_UNIT,MCH5_NAME,VALUE_TRANSACTIONS_MCH5,VALUE_SALE_AMOUNT_MCH5
2022-01-28,0,HỒ CHÍ MINH,2000,Gà nội địa,2225,176884113
2022-11-03,0,HỒ CHÍ MINH,1500,Gà nội địa,722,53013395
2022-10-11,0,HÀ NỘI,1500,Gà nội địa,3396,227366376
2023-09-17,1,HÀ NỘI,2000,Gà nội địa,7581,459361501
2022-07-08,0,HỒ CHÍ MINH,2000,Gà nội địa,3151,209217039
2024-01-05,1,HÀ NỘI,1500,Gà nội địa,2200,157561280
2022-12-09,0,HỒ CHÍ MINH,2000,Gà nội địa,2794,179596676
2024-02-17,1,HỒ CHÍ MINH,2000,Gà nội địa,2037,134160357
2022-07-10,0,HỒ CHÍ MINH,1500,Gà nội địa,1149,94194652
2023-12-19,1,HỒ CHÍ MINH,1500,Gà nội địa,514,39729883
2024-03-23,0,HỒ CHÍ MINH,2000,Gà nội địa,876,54655447
2023-05-12,0,HÀ NỘI,2000,Gà nội địa,538,33904876
2024-02-03,0,HÀ NỘI,1500,Gà nội địa,979,87343706
2024-02-05,0,HÀ NỘI,1500,Gà nội địa,799,73785151
2023-03-28,1,HỒ CHÍ MINH,2000,Gà nội địa,1885,123853761
2022-10-21,1,HÀ NỘI,2000,Gà nội địa,359,22914599
2024-01-12,0,HÀ NỘI,1500,Gà nội địa,931,65266816
2023-11-27,0,HÀ NỘI,2000,Gà nội địa,257,17252921
2024-03-30,0,HÀ NỘI,2000,Gà nội địa,313,22225271
2024-02-14,0,HÀ NỘI,2000,Gà nội địa,380,23349507
2024-03-31,0,HÀ NỘI,2000,Gà nội địa,399,27317376
2023-03-13,1,HỒ CHÍ MINH,1500,Gà nội địa,363,26717425
2024-03-10,1,HÀ NỘI,2000,Gà nội địa,7661,461320283
2022-05-03,0,HỒ CHÍ MINH,1500,Gà nội địa,888,68146243
2022-03-23,0,HỒ CHÍ MINH,2000,Gà nội địa,3662,232307193
2022-04-15,0,HÀ NỘI,1500,Gà nội địa,2539,178196195
2023-10-04,0,HỒ CHÍ MINH,1500,Gà nội địa,266,21417809
2024-03-08,1,HÀ NỘI,2000,Gà nội địa,5463,329791583
2022-12-01,0,HÀ NỘI,2000,Gà nội địa,6137,412616904
2022-07-21,0,HÀ NỘI,1500,Gà nội địa,3557,252713482
2024-04-05,1,HỒ CHÍ MINH,2000,Gà nội địa,2693,172196545
2022-09-29,0,HỒ CHÍ MINH,1500,Gà nội địa,809,59167019
2023-12-19,1,HỒ CHÍ MINH,2000,Gà nội địa,3033,190149604
2022-07-10,0,HỒ CHÍ MINH,2000,Gà nội địa,3658,249659502
2023-08-02,1,HÀ NỘI,2000,Gà nội địa,7811,429960198
2022-06-01,0,HÀ NỘI,1500,Gà nội địa,3081,223540000
2023-11-23,1,HÀ NỘI,1500,Gà nội địa,2333,155013818
2023-04-28,1,HÀ NỘI,1500,Gà nội địa,1640,127203297
2023-07-27,1,HÀ NỘI,2000,Gà nội địa,6550,360645880
2024-01-30,1,HỒ CHÍ MINH,1500,Gà nội địa,395,29705396
2022-01-23,0,HỒ CHÍ MINH,2000,Gà nội địa,3046,215132186
2024-01-29,0,HỒ CHÍ MINH,2000,Gà nội địa,727,45896593
2023-06-07,1,HÀ NỘI,1500,Gà nội địa,2197,149902782
2022-07-28,0,HÀ NỘI,1500,Gà nội địa,3393,228531618
2022-08-31,0,HỒ CHÍ MINH,1500,Gà nội địa,734,56513659
2022-10-19,0,HỒ CHÍ MINH,2000,Gà nội địa,3107,198907053
2023-07-18,1,HÀ NỘI,1500,Gà nội địa,2772,188720028
2022-04-28,0,HÀ NỘI,1500,Gà nội địa,2732,188243239
2024-01-25,1,HÀ NỘI,2000,Gà nội địa,7052,418285465
2024-01-24,1,HÀ NỘI,2000,Gà nội địa,8193,485442101
2023-02-17,1,HÀ NỘI,1500,Gà nội địa,1577,107720067
2022-12-12,1,HỒ CHÍ MINH,2000,Gà nội địa,438,28060247
2023-11-02,1,HÀ NỘI,2000,Gà nội địa,7543,439622784
2023-06-17,0,HỒ CHÍ MINH,1500,Gà nội địa,443,43676946
2023-03-12,1,HỒ CHÍ MINH,2000,Gà nội địa,2069,138100300
2024-01-28,0,HỒ CHÍ MINH,1500,Gà nội địa,360,30551594
2023-03-08,0,HỒ CHÍ MINH,1500,Gà nội địa,381,30062113
2024-03-29,1,HÀ NỘI,1500,Gà nội địa,2230,157490283
2022-10-04,1,HỒ CHÍ MINH,2000,Gà nội địa,228,14418916
2023-05-23,0,HỒ CHÍ MINH,1500,Gà nội địa,357,28674499
2023-08-31,1,HỒ CHÍ MINH,1500,Gà nội địa,393,32720217
2024-03-21,0,HỒ CHÍ MINH,1500,Gà nội địa,337,28965701
2022-05-20,0,HÀ NỘI,1500,Gà nội địa,2801,204948127
2022-10-05,1,HỒ CHÍ MINH,2000,Gà nội địa,202,13132304
2023-02-25,0,HÀ NỘI,1500,Gà nội địa,1897,142305089
2024-04-16,1,HỒ CHÍ MINH,1500,Gà nội địa,469,39552710
2024-02-29,1,HỒ CHÍ MINH,2000,Gà nội địa,2378,159262481
2024-04-02,0,HÀ NỘI,1500,Gà nội địa,956,66246067
2024-02-07,0,HÀ NỘI,2000,Gà nội địa,313,21653632
2022-04-04,0,HỒ CHÍ MINH,1500,Gà nội địa,781,57827706
2023-05-22,1,HỒ CHÍ MINH,1500,Gà nội địa,465,35472364
2023-10-14,1,HÀ NỘI,2000,Gà nội địa,6810,412898909
2022-12-16,0,HÀ NỘI,2000,Gà nội địa,5098,342088908
2023-10-13,1,HÀ NỘI,1500,Gà nội địa,2085,143004710
2023-04-21,1,HÀ NỘI,2000,Gà nội địa,5617,309672166
2023-07-02,1,HÀ NỘI,2000,Gà nội địa,6788,391512684
2023-12-06,1,HỒ CHÍ MINH,1500,Gà nội địa,539,42942499
2024-01-14,0,HÀ NỘI,1500,Gà nội địa,1253,93065608
2023-04-17,1,HỒ CHÍ MINH,1500,Gà nội địa,416,33482361
2023-07-20,1,HỒ CHÍ MINH,1500,Gà nội địa,510,42551133
2023-04-22,0,HỒ CHÍ MINH,1500,Gà nội địa,362,31487077
2024-03-31,0,HÀ NỘI,1500,Gà nội địa,1144,82100514
2022-12-13,0,HỒ CHÍ MINH,1500,Gà nội địa,813,64672740
2022-11-19,0,HÀ NỘI,1500,Gà nội địa,3964,308088243
2022-04-20,0,HỒ CHÍ MINH,1500,Gà nội địa,848,62744157
2024-01-07,1,HÀ NỘI,2000,Gà nội địa,7261,445621032
2023-05-28,0,HÀ NỘI,2000,Gà nội địa,646,45133284
2022-10-13,0,HỒ CHÍ MINH,2000,Gà nội địa,3097,199015415
2023-05-07,0,HỒ CHÍ MINH,2000,Gà nội địa,1610,103106222
2022-06-02,0,HỒ CHÍ MINH,2000,Gà nội địa,3201,213419941
2022-05-09,0,HÀ NỘI,2000,Gà nội địa,6099,378270268
2022-04-20,0,HÀ NỘI,1500,Gà nội địa,2956,194340285
2023-10-01,0,HỒ CHÍ MINH,2000,Gà nội địa,1239,79350369
2022-11-14,1,HÀ NỘI,2000,Gà nội địa,442,28427659
2022-11-02,1,HÀ NỘI,2000,Gà nội địa,495,29640381
2023-07-10,0,HỒ CHÍ MINH,2000,Gà nội địa,1664,97572609
2023-08-27,0,HỒ CHÍ MINH,2000,Gà nội địa,1196,78569364
2022-08-09,0,HÀ NỘI,1500,Gà nội địa,3465,242363370
2023-06-11,1,HỒ CHÍ MINH,2000,Gà nội địa,2407,169490318
2024-02-27,1,HÀ NỘI,2000,Gà nội địa,6967,404994864
2023-05-05,1,HÀ NỘI,1500,Gà nội địa,1678,116374815
2022-08-30,0,HÀ NỘI,1500,Gà nội địa,2924,205760539
2022-07-01,0,HÀ NỘI,2000,Gà nội địa,5491,343737054
2022-11-05,0,HỒ CHÍ MINH,2000,Gà nội địa,2935,185784038
2022-07-31,0,HỒ CHÍ MINH,1500,Gà nội địa,1151,91973526
2022-07-09,0,HÀ NỘI,1500,Gà nội địa,4166,320220261
2023-12-08,1,HÀ NỘI,2000,Gà nội địa,6097,358532239
2023-02-20,0,HÀ NỘI,1500,Gà nội địa,1512,94851232
2023-06-01,1,HÀ NỘI,1500,Gà nội địa,2045,146290267
2023-01-15,1,HÀ NỘI,1500,Gà nội địa,990,77026783
2023-04-26,1,HỒ CHÍ MINH,2000,Gà nội địa,1992,134042958
2023-10-15,0,HỒ CHÍ MINH,2000,Gà nội địa,1103,71552966
2022-05-04,0,HÀ NỘI,1500,Gà nội địa,2791,186699825
2023-05-13,0,HỒ CHÍ MINH,1500,Gà nội địa,436,47304470
2023-02-26,0,HÀ NỘI,1500,Gà nội địa,2102,157758135
2023-05-15,1,HỒ CHÍ MINH,2000,Gà nội địa,2298,148118367
2024-04-13,1,HỒ CHÍ MINH,1500,Gà nội địa,525,48471338
2023-03-22,0,HỒ CHÍ MINH,2000,Gà nội địa,1653,101079623
2023-07-28,1,HỒ CHÍ MINH,1500,Gà nội địa,457,37735898
2023-06-10,1,HỒ CHÍ MINH,1500,Gà nội địa,556,49121219
2024-03-22,0,HỒ CHÍ MINH,1500,Gà nội địa,272,21890069
2022-11-27,1,HÀ NỘI,2000,Gà nội địa,484,33751911
2023-02-24,1,HỒ CHÍ MINH,1500,Gà nội địa,319,23919538
2023-11-24,0,HỒ CHÍ MINH,2000,Gà nội địa,806,49891062
2024-01-15,0,HÀ NỘI,2000,Gà nội địa,249,16155230
2023-01-09,1,HỒ CHÍ MINH,1500,Gà nội địa,222,17709595
2023-01-07,1,HỒ CHÍ MINH,1500,Gà nội địa,313,27885513
2023-07-10,1,HỒ CHÍ MINH,1500,Gà nội địa,535,40875906
2022-09-19,0,HÀ NỘI,1500,Gà nội địa,3464,228366831
2023-11-20,1,HỒ CHÍ MINH,2000,Gà nội địa,3154,197757432
2022-04-04,0,HÀ NỘI,1500,Gà nội địa,3074,214491489
2022-09-22,0,HỒ CHÍ MINH,2000,Gà nội địa,3256,217658628
2024-04-07,0,HỒ CHÍ MINH,1500,Gà nội địa,391,33624613
2023-04-29,1,HÀ NỘI,2000,Gà nội địa,4424,277147980
2023-12-15,1,HÀ NỘI,2000,Gà nội địa,6454,375383038
2024-01-24,0,HỒ CHÍ MINH,1500,Gà nội địa,278,21441228
2024-03-03,0,HÀ NỘI,2000,Gà nội địa,353,24590398
2023-11-10,1,HÀ NỘI,2000,Gà nội địa,6692,389984654
2023-04-04,1,HÀ NỘI,1500,Gà nội địa,1890,129159688
2024-01-24,1,HÀ NỘI,1500,Gà nội địa,2760,186086068
2023-09-14,0,HỒ CHÍ MINH,2000,Gà nội địa,1308,82682636
2023-06-15,0,HÀ NỘI,1500,Gà nội địa,1246,99337862
2023-12-13,0,HỒ CHÍ MINH,2000,Gà nội địa,728,43797581
2022-08-21,0,HÀ NỘI,2000,Gà nội địa,8172,559605625
2022-11-07,0,HỒ CHÍ MINH,2000,Gà nội địa,3368,212541459
